#Provincia;Provincia;#De Casos;Defunciones;Date;Boletines;Recuperados;Dia
10;Independecia;1;0;30/3/2020;Boletin #12;0;12
11;La Altagracia;29;0;30/3/2020;Boletin #12;0;12
12;La Romana;21;0;30/3/2020;Boletin #12;0;12
13;La Vega;65;2;30/3/2020;Boletin #12;0;12
14;Maria Trinidad Sanchez;6;1;30/3/2020;Boletin #12;0;12
15;Monte Cristi;1;0;30/3/2020;Boletin #12;0;12
16;Pedernales;1;0;30/3/2020;Boletin #12;0;12
17;Peravia;4;0;30/3/2020;Boletin #12;0;12
18;Puerto Plata;28;0;30/3/2020;Boletin #12;0;12
19;Hermanas Mirabal;11;0;30/3/2020;Boletin #12;0;12
20;Samana;12;1;30/3/2020;Boletin #12;0;12
21;San Cristobal;13;1;30/3/2020;Boletin #12;0;12
22;San Juan;5;2;30/3/2020;Boletin #12;0;12
23;San Pedro de Macoris;18;3;30/3/2020;Boletin #12;0;12
24;Sanchez Ramirez;10;2;30/3/2020;Boletin #12;0;12
25;Santiago;122;2;30/3/2020;Boletin #12;0;12
26;Santiago Rodriguez;2;0;30/3/2020;Boletin #12;0;12
27;Valverde;4;0;30/3/2020;Boletin #12;0;12
28;Monsenor Nouel;19;1;30/3/2020;Boletin #12;0;12
29;Monte Plata;1;0;30/3/2020;Boletin #12;0;12
30;Hato Mayor;3;0;30/3/2020;Boletin #12;0;12
31;San Jose De Ocoa;0;0;30/3/2020;Boletin #12;0;12
32;Santo Domingo;145;5;30/3/2020;Boletin #12;0;12
1;Distrito Nacional;520;11;31/3/2020;Boletin #13;0;13
2;Azua;7;0;31/3/2020;Boletin #13;0;13
3;Bahoruco;0;0;31/3/2020;Boletin #13;0;13
4;Barahona;7;0;31/3/2020;Boletin #13;0;13
5;Dajabon;1;0;31/3/2020;Boletin #13;0;13
6;Duarte;101;23;31/3/2020;Boletin #13;0;13
7;Elias Pina;0;0;31/3/2020;Boletin #13;0;13
8;El Seibo;1;1;31/3/2020;Boletin #13;0;13
9;Espaillat;28;0;31/3/2020;Boletin #13;0;13
10;Independecia;1;0;31/3/2020;Boletin #13;0;13
11;La Altagracia;32;0;31/3/2020;Boletin #13;0;13
12;La Romana;24;0;31/3/2020;Boletin #13;0;13
13;La Vega;84;2;31/3/2020;Boletin #13;0;13
14;Maria Trinidad Sanchez;6;1;31/3/2020;Boletin #13;0;13
15;Monte Cristi;2;0;31/3/2020;Boletin #13;0;13
16;Pedernales;1;0;31/3/2020;Boletin #13;0;13
17;Peravia;4;0;31/3/2020;Boletin #13;0;13
18;Puerto Plata;28;0;31/3/2020;Boletin #13;0;13
19;Hermanas Mirabal;15;0;31/3/2020;Boletin #13;0;13
20;Samana;13;1;31/3/2020;Boletin #13;0;13
21;San Cristobal;21;1;31/3/2020;Boletin #13;0;13
22;San Juan;7;2;31/3/2020;Boletin #13;0;13
23;San Pedro de Macoris;20;3;31/3/2020;Boletin #13;0;13
24;Sanchez Ramirez;13;2;31/3/2020;Boletin #13;0;13
25;Santiago;138;2;31/3/2020;Boletin #13;0;13
26;Santiago Rodriguez;2;0;31/3/2020;Boletin #13;0;13
27;Valverde;8;0;31/3/2020;Boletin #13;0;13
28;Monsenor Nouel;27;1;31/3/2020;Boletin #13;0;13
29;Monte Plata;2;1;31/3/2020;Boletin #13;0;13
30;Hato Mayor;3;0;31/3/2020;Boletin #13;0;13
31;San Jose De Ocoa;0;0;31/3/2020;Boletin #13;0;13
